77874	22	22	77874	0	0	1037	
279794	32	32	279794	0	0	1012	
594873	16	16	594873	0	0	2321	
594875	16	16	594875	0	0	2200	
694393	10	10	694393	0	0	1034	
694447	10	10	694447	0	0	1937	
694504	10	10	694504	0	0	1864	
694513	10	10	694513	0	0	1039	
695721	25	25	695721	0	0	1706	
695811	25	25	695811	0	0	1056	
695814	25	25	695814	0	0	1008	
814238	20	20	814238	0	0	1446	
1030533	14	14	1030533	0	0	1307	
1030773	14	14	1030773	0	0	1039	
1031072	15	15	1031072	0	0	1220	
1330802	13	13	1330802	0	0	1006	
1330842	10	10	1330842	0	0	2508	
1857451	27	27	1857451	0	0	1232	
2125894	18	17	2125894	0	0	1246	
2125900	18	17	2125900	0	0	2450	
2125943	18	17	2125943	0	0	1132	
2126113	19	19	2126113	0	0	1045	
2126156	19	19	2126156	0	0	1148	
2126189	19	19	2126189	0	0	1251	
2359242	19	19	2359242	0	0	1112	
2941223	12	12	2941223	0	0	2359	
2941235	12	12	2941235	0	0	1441	
3443998	10	10	3443998	0	0	4384	
3444004	10	10	3444004	0	0	1172	
3444010	10	10	3444010	0	0	1706	
3777917	12	12	3777917	0	0	1764	
3777922	23	23	3777922	0	0	3004	
3777925	23	23	3777925	0	0	1030	
3777934	23	23	3777934	0	0	3312	
4136949	18	18	4136949	0	0	1223	
4845328	16	16	4845328	0	0	1094	
4871018	25	25	4871018	0	0	1212	
4883367	11	11	4883367	0	0	1529	
4883401	11	11	4883401	0	0	1220	
4883515	11	11	4883515	0	0	1174	
4888979	21	21	4888979	0	0	1158	
4905833	23	22	4905833	0	0	1074	
4905845	23	22	4905845	0	0	1304	
4920951	21	21	4920951	0	0	1390	
4921090	20	20	4921090	0	0	1130	
4921205	20	20	4921205	0	0	1394	
4922509	27	27	4922509	0	0	1454	
4928154	22	22	4928154	0	0	1237	
4928160	22	22	4928160	0	0	1254	
4928177	22	22	4928177	0	0	1775	
4931017	14	14	4931017	0	0	1071	
4931196	14	14	4931196	0	0	1131	
4940019	10	10	4940019	0	0	2059	
4940022	10	10	4940022	0	0	1625	
4947779	11	11	4947779	0	0	1098	
4949200	25	24	4949200	0	0	1492	
4949246	25	24	4949246	0	0	2175	
4949348	25	24	4949348	0	0	1648	
4949544	23	22	4949544	0	0	1029	
4949558	23	22	4949558	0	0	1928	
4950080	23	22	4950080	0	0	1098	
4950288	23	22	4950288	0	0	1435	
4950577	23	22	4950577	0	0	2126	
4950687	24	23	4950687	0	0	1328	
4950937	24	23	4950937	0	0	1212	
4952079	16	16	4952079	0	0	1048	
4960359	26	24	4960359	0	0	1093	
4960603	26	24	4960603	0	0	1128	
4971420	23	23	4971420	0	0	1928	
4971442	23	23	4971442	0	0	1029	
4971511	23	23	4971511	0	0	1756	
4971608	23	23	4971608	0	0	2175	
4971659	23	23	4971659	0	0	1492	
4971695	23	23	4971695	0	0	1003	
4971700	23	23	4971700	0	0	1090	
