77874	22	22
279794	32	32
594873	16	16
594875	16	16
694393	10	10
694447	10	10
694504	10	10
694513	10	10
695721	25	25
695811	25	25
695814	25	25
814238	20	20
1030533	14	14
1030773	14	14
1031072	15	15
1330802	13	13
1330842	10	10
1857451	27	27
2125894	18	17
2125900	18	17
2125943	18	17
2126113	19	19
2126156	19	19
2126189	19	19
2359242	19	19
2941223	12	12
2941235	12	12
3443998	10	10
3444004	10	10
3444010	10	10
3777917	12	12
3777922	23	23
3777925	23	23
3777934	23	23
4136949	18	18
4845328	16	16
4871018	25	25
4883367	11	11
4883401	11	11
4883515	11	11
4888979	21	21
4905833	23	22
4905845	23	22
4920951	21	21
4921090	20	20
4921205	20	20
4922509	27	27
4928154	22	22
4928160	22	22
4928177	22	22
4931017	14	14
4931196	14	14
4940019	10	10
4940022	10	10
4947779	11	11
4949200	25	24
4949246	25	24
4949348	25	24
4949544	23	22
4949558	23	22
4950080	23	22
4950288	23	22
4950577	23	22
4950687	24	23
4950937	24	23
4952079	16	16
4960359	26	24
4960603	26	24
4971420	23	23
4971442	23	23
4971511	23	23
4971608	23	23
4971659	23	23
4971695	23	23
4971700	23	23
